content,score,text_clean,text_stopword,text_slang,text_no_stopwords
mau gnti di platform ini tp mikir lgi penjualnya g jelas smua g ada tnggung jawabnya pengiriman seenaknya g ditingkatin mlah menurun g perlu deh ada promo2 klo g mampu,1,mau gnti di platform ini tp mikir lgi penjualnya g jelas smua g ada tnggung jawabnya pengiriman seenaknya g ditingkatin mlah menurun g perlu deh ada promo klo g mampu,gnti platform tp mikir lgi penjualnya g smua g tnggung pengiriman g ditingkatin mlah menurun g deh promo klo g,ganti platform tapi mikir lagi penjualnya enggak semua enggak tnggung pengiriman enggak ditingkatin malah menurun enggak deh promo kalo enggak,ganti platform mikir penjualnya tnggung pengiriman ditingkatin menurun deh promo kalo
belanja mudah dan murah,5,belanja mudah dan murah,belanja mudah murah,belanja mudah murah,belanja mudah murah
promo hanya sbg jebakan harga masih lebih mahal dari online shop lainya,1,promo hanya sbg jebakan harga masih lebih mahal dari online shop lainya,promo sbg jebakan harga mahal online shop lainya,promo sebagai jebakan harga mahal online shop lainya,promo jebakan harga mahal online shop lainya
mantap toko pedia,5,mantap toko pedia,mantap toko pedia,mantap toko pedia,mantap toko pedia
Klo lewat aplikasi ini paket pasti lebih lama nympe...,2,klo lewat aplikasi ini paket pasti lebih lama nympe,klo aplikasi paket nympe,kalo aplikasi paket nympe,kalo aplikasi paket nympe
mantap banyak bonus pengguna baru disini,5,mantap banyak bonus pengguna baru disini,mantap bonus pengguna,mantap bonus pengguna,mantap bonus pengguna
bagus,5,bagus,bagus,bagus,bagus
ok,4,ok,ok,ok,ok
emang mantul bener toko pedia promo ya,5,emang mantul bener toko pedia promo ya,emang mantul bener toko pedia promo ya,memang mantul benar toko pedia promo ya,mantul toko pedia promo ya
good,5,good,good,good,good
Tidak bisa buat trx,1,tidak bisa buat trx,trx,trx,trx
"Cs nya ditanya berbelit mulu udah vocher pas mau klaim gak bisa lagi padahal udh ontime ,😮‍💨",1,cs nya ditanya berbelit mulu udah vocher pas mau klaim gak bisa lagi padahal udh ontime ,cs nya berbelit mulu udah vocher pas klaim gak udh ontime,cs nya berbelit mulu sudah vocher pas klaim enggak sudah ontime,cs nya berbelit mulu vocher pas klaim ontime
Tokopedia Lite mohon disediakan di google play karena mudah downloadnya.,1,tokopedia lite mohon disediakan di google play karena mudah downloadnya,tokopedia lite mohon disediakan google play mudah downloadnya,tokopedia lite mohon disediakan google play mudah downloadnya,tokopedia lite mohon disediakan google play mudah downloadnya
"mudah²n banyak promo diskon dan gratis ongkir nya,dan ini baru pertama kali pakai toko pedia",5,mudahn banyak promo diskon dan gratis ongkir nyadan ini baru pertama kali pakai toko pedia,mudahn promo diskon gratis ongkir nyadan kali pakai toko pedia,mudahn promo diskon gratis ongkir nyadan kali pakai toko pedia,mudahn promo diskon gratis ongkir nyadan kali pakai toko pedia
Belanja sering bgt dibatalkan sistem .. padahal dah lama nungguin barang nya,1,belanja sering bgt dibatalkan sistem  padahal dah lama nungguin barang nya,belanja bgt dibatalkan sistem dah nungguin barang nya,belanja banget dibatalkan sistem deh menunggu barang nya,belanja banget dibatalkan sistem deh menunggu barang nya
Matamu bebas ongkir blok,1,matamu bebas ongkir blok,matamu bebas ongkir blok,matamu bebas ongkir blok,matamu bebas ongkir blok
Membangun dan menjaga kestabilan perputaran uang negara :p ;) #salamdamaisatuaspal,5,membangun dan menjaga kestabilan perputaran uang negara p  salamdamaisatuaspal,membangun menjaga kestabilan perputaran uang negara p salamdamaisatuaspal,membangun menjaga kestabilan perputaran uang negara p salamdamaisatuaspal,membangun menjaga kestabilan perputaran uang negara p salamdamaisatuaspal
"Power merchant idup sendiri, potongan ngga ngotak, owner tokped mau naek haji, ngga mikirin nasib seller, bagusnya di ban aja nih aplikasi",1,power merchant idup sendiri potongan ngga ngotak owner tokped mau naek haji ngga mikirin nasib seller bagusnya di ban aja nih aplikasi,power merchant idup potongan ngga ngotak owner tokped naek haji ngga mikirin nasib seller bagusnya ban aja nih aplikasi,power merchant hidup potongan enggak ngotak owner tokped naik haji enggak memikirkan nasib seller bagusnya ban saja nih aplikasi,power merchant hidup potongan ngotak owner tokped haji memikirkan nasib seller bagusnya ban nih aplikasi
makin oke,5,makin oke,oke,oke,oke
Tidak banyak gratis ongkir yang tersedia..bila dibandingkan dengan lapak sebelah...,1,tidak banyak gratis ongkir yang tersediabila dibandingkan dengan lapak sebelah,gratis ongkir tersediabila dibandingkan lapak sebelah,gratis ongkir tersediabila dibandingkan lapak sebelah,gratis ongkir tersediabila dibandingkan lapak sebelah
GK jelas tokoh pedia Ne mending hapus aja aplikasi Nhe buat habisin kuato orang aja,1,gk jelas tokoh pedia ne mending hapus aja aplikasi nhe buat habisin kuato orang aja,gk tokoh pedia ne mending hapus aja aplikasi nhe habisin kuato orang aja,enggak tokoh pedia ini mending hapus saja aplikasi nhe habisin kuato orang saja,tokoh pedia mending hapus aplikasi nhe habisin kuato orang
puas,5,puas,puas,puas,puas
Coba,5,coba,coba,coba,coba
"pada saat saya ingin berbelanja saya mendapatkan diskon yang lumayan cukup besar di apk inj, tapi pada saat transaksi sudah berlangsung dana/saldo saya langsung di refund sepihak oleh pihak TokopediaCare saya merasa sangat kecewa dengan ada nya ini.",1,pada saat saya ingin berbelanja saya mendapatkan diskon yang lumayan cukup besar di apk inj tapi pada saat transaksi sudah berlangsung danasaldo saya langsung di refund sepihak oleh pihak tokopediacare saya merasa sangat kecewa dengan ada nya ini,berbelanja diskon lumayan apk inj transaksi danasaldo langsung refund tokopediacare kecewa nya,berbelanja diskon lumayan apk inj transaksi danasaldo langsung refund tokopediacare kecewa nya,berbelanja diskon lumayan apk inj transaksi danasaldo langsung refund tokopediacare kecewa nya
Bagus transaksi nya gampang dan cepat,5,bagus transaksi nya gampang dan cepat,bagus transaksi nya gampang cepat,bagus transaksi nya gampang cepat,bagus transaksi nya gampang cepat
Ribet pergantian nomor yg sudah tidak aktif dan informasi yg ada tidak solutif,1,ribet pergantian nomor yg sudah tidak aktif dan informasi yg ada tidak solutif,ribet pergantian nomor yg aktif informasi yg solutif,ribet pergantian nomor yang aktif informasi yang solutif,ribet pergantian nomor aktif informasi solutif
god job,3,god job,god job,god job,god job
ok👍👍,5,ok,ok,ok,ok
Nyesel pake Tokopedia banyak penipuan,1,nyesel pake tokopedia banyak penipuan,nyesel pake tokopedia penipuan,menyesal pakai tokopedia penipuan,menyesal pakai tokopedia penipuan
"Gak jelas ini aplikasi ...udah nunggu lama barang pesanan,malah d batal kan gt aja....kan 💩💩💩",1,gak jelas ini aplikasi udah nunggu lama barang pesananmalah d batal kan gt ajakan ,gak aplikasi udah nunggu barang pesananmalah d batal gt ajakan,enggak aplikasi sudah menunggu barang pesananmalah di batal begitu ajakan,aplikasi menunggu barang pesananmalah batal ajakan
"Ga jelas pelayanannya,paket seminggu blm Dateng pas di kompalainmalah nunggu seminggu lagi lambat banget responnya,langsung tak uninstall,PERMANEN DI SHOPE AJA BELANJANYA",1,ga jelas pelayanannyapaket seminggu blm dateng pas di kompalainmalah nunggu seminggu lagi lambat banget responnyalangsung tak uninstallpermanen di shope aja belanjanya,ga pelayanannyapaket seminggu blm dateng pas kompalainmalah nunggu seminggu lambat banget responnyalangsung uninstallpermanen shope aja belanjanya,enggak pelayanannyapaket seminggu belum datang pas kompalainmalah menunggu seminggu lambat banget responnyalangsung uninstallpermanen shope saja belanjanya,pelayanannyapaket seminggu pas kompalainmalah menunggu seminggu lambat banget responnyalangsung uninstallpermanen shope belanjanya
puas,5,puas,puas,puas,puas
Yth.pelayanan konsumen toko pedia di utamakn,4,ythpelayanan konsumen toko pedia di utamakn,ythpelayanan konsumen toko pedia utamakn,ythpelayanan konsumen toko pedia utamakn,ythpelayanan konsumen toko pedia utamakn
sangat bagus,5,sangat bagus,bagus,bagus,bagus
ok,5,ok,ok,ok,ok
Puas belanja di tokopedia setiap bulan selalu ada diskon n casback Jauh lebih murah n mudah belanja semua kebutuhan rumah. Pertahankan terus ya tokped diskon n casbacknya kalo perlu tambahin yg banyak,5,puas belanja di tokopedia setiap bulan selalu ada diskon n casback jauh lebih murah n mudah belanja semua kebutuhan rumah pertahankan terus ya tokped diskon n casbacknya kalo perlu tambahin yg banyak,puas belanja tokopedia diskon n casback murah n mudah belanja kebutuhan rumah pertahankan ya tokped diskon n casbacknya kalo tambahin yg,puas belanja tokopedia diskon n casback murah n mudah belanja kebutuhan rumah pertahankan ya tokped diskon n casbacknya kalo tambahkan yang,puas belanja tokopedia diskon n casback murah n mudah belanja kebutuhan rumah pertahankan ya tokped diskon n casbacknya kalo tambahkan
bgus,4,bgus,bgus,bagus,bagus
sangat membantu,5,sangat membantu,membantu,membantu,membantu
"Pesanan tiba"" Dibatalkan oleh sistem dengan alasan tidak jelas... Voucher hangus.. Pengembalian dana lama sekali....sangat merugikan dan tidak nyaman...Otw hapus aplikasi...",1,pesanan tiba dibatalkan oleh sistem dengan alasan tidak jelas voucher hangus pengembalian dana lama sekalisangat merugikan dan tidak nyamanotw hapus aplikasi,pesanan dibatalkan sistem alasan voucher hangus pengembalian dana sekalisangat merugikan nyamanotw hapus aplikasi,pesanan dibatalkan sistem alasan voucher hangus pengembalian dana sekalisangat merugikan nyamanotw hapus aplikasi,pesanan dibatalkan sistem alasan voucher hangus pengembalian dana sekalisangat merugikan nyamanotw hapus aplikasi
keyenn,5,keyenn,keyenn,keyenn,keyenn
ok terpercaya,5,ok terpercaya,ok terpercaya,ok terpercaya,ok terpercaya
murah banget di toko pedia mantap semoga banyak lagi promo2nya maksih toko pedia,5,murah banget di toko pedia mantap semoga banyak lagi promonya maksih toko pedia,murah banget toko pedia mantap semoga promonya maksih toko pedia,murah banget toko pedia mantap semoga promonya terima kasih toko pedia,murah banget toko pedia mantap semoga promonya terima kasih toko pedia
"tokoscam, pengguna baru dikasih diskon hingga perlu bayar 100perak aja itu scam wkwk",1,tokoscam pengguna baru dikasih diskon hingga perlu bayar perak aja itu scam wkwk,tokoscam pengguna dikasih diskon bayar perak aja scam wkwk,tokoscam pengguna dikasih diskon bayar perak saja scam wkwk,tokoscam pengguna dikasih diskon bayar perak scam wkwk
baik,5,baik,,,
sangat membantu sekali 🤗,5,sangat membantu sekali ,membantu,membantu,membantu
Sangat baik,5,sangat baik,,,
"Pengalaman pertama belanja di tokped cukup mengecewakan, barang saya datang molor lebih dari estimasi. Mengajukan komplain suruh tunggu 7 hari kerja. Kapok mau belanja lagi",1,pengalaman pertama belanja di tokped cukup mengecewakan barang saya datang molor lebih dari estimasi mengajukan komplain suruh tunggu  hari kerja kapok mau belanja lagi,pengalaman belanja tokped mengecewakan barang molor estimasi mengajukan komplain suruh tunggu kerja kapok belanja,pengalaman belanja tokped mengecewakan barang molor estimasi mengajukan komplain suruh tunggu kerja kapok belanja,pengalaman belanja tokped mengecewakan barang molor estimasi mengajukan komplain suruh tunggu kerja kapok belanja
Kenapa waktu di update jadi ga bisa di buka ya?aneh bnget apk ini,1,kenapa waktu di update jadi ga bisa di buka yaaneh bnget apk ini,update ga buka yaaneh bnget apk,update enggak buka yaaneh banget apk,update buka yaaneh banget apk
mantap pakai toped mahhhhhh....,5,mantap pakai toped mahhhhhh,mantap pakai toped mahhhhhh,mantap pakai toped mahhhhhh,mantap pakai toped mahhhhhh
aplikasi bagus,5,aplikasi bagus,aplikasi bagus,aplikasi bagus,aplikasi bagus
bagus,5,bagus,bagus,bagus,bagus
Eror ahh.. habis di update malah gak bisa di buka🤦,1,eror ahh habis di update malah gak bisa di buka,eror ahh habis update gak buka,eror ah habis update enggak buka,eror ah habis update buka
baik,5,baik,,,
Baru coba,3,baru coba,coba,coba,coba
oke berhasil,5,oke berhasil,oke berhasil,oke berhasil,oke berhasil
okkk,5,okkk,okkk,okkk,okkk
Sejauh ini sangat membantu dalam memenuhi kebutuhan2 kami. Terima kasih,5,sejauh ini sangat membantu dalam memenuhi kebutuhan kami terima kasih,membantu memenuhi kebutuhan terima kasih,membantu memenuhi kebutuhan terima kasih,membantu memenuhi kebutuhan terima kasih
TOKOPEDIA PEKOK,1,tokopedia pekok,tokopedia pekok,tokopedia pekok,tokopedia pekok
sangat mmbantu trimakasih tokopedia,5,sangat mmbantu trimakasih tokopedia,mmbantu trimakasih tokopedia,mmbantu trimakasih tokopedia,mmbantu trimakasih tokopedia
baik,4,baik,,,
"dear tokped udah gak nerapin sistem beli barang bayarnya via saldo tokped,saya gak sengaja pencet membatalkan pesanan saldo balik ke tokped,eh pas mau beli ulang malah gak ada fitur beli barang pake saldo tokped,next semoga dikasih fiturnya ya min biar enak",5,dear tokped udah gak nerapin sistem beli barang bayarnya via saldo tokpedsaya gak sengaja pencet membatalkan pesanan saldo balik ke tokpedeh pas mau beli ulang malah gak ada fitur beli barang pake saldo tokpednext semoga dikasih fiturnya ya min biar enak,dear tokped udah gak nerapin sistem beli barang bayarnya via saldo tokpedsaya gak sengaja pencet membatalkan pesanan saldo tokpedeh pas beli ulang gak fitur beli barang pake saldo tokpednext semoga dikasih fiturnya ya min biar enak,dear tokped sudah enggak nerapin sistem beli barang bayarnya via saldo tokpedsaya enggak sengaja pencet membatalkan pesanan saldo tokpedeh pas beli ulang enggak fitur beli barang pakai saldo tokpednext semoga dikasih fiturnya ya min biar enak,dear tokped nerapin sistem beli barang bayarnya via saldo tokpedsaya sengaja pencet membatalkan pesanan saldo tokpedeh pas beli ulang fitur beli barang pakai saldo tokpednext semoga dikasih fiturnya ya min biar enak
"kalau perlu bikin gudang tokopedia dong bikin kurir sendiri!ikut si cepat lelet nya minta ampun!,mau komplain nya paling cuma di tanggepin maaf ketidaknyamanan nya nggak ada tindakan samsek!",1,kalau perlu bikin gudang tokopedia dong bikin kurir sendiriikut si cepat lelet nya minta ampunmau komplain nya paling cuma di tanggepin maaf ketidaknyamanan nya nggak ada tindakan samsek,bikin gudang tokopedia bikin kurir sendiriikut si cepat lelet nya ampunmau komplain nya tanggepin maaf ketidaknyamanan nya nggak tindakan samsek,bikin gudang tokopedia bikin kurir sendiriikut sih cepat lelet nya ampunmau komplain nya tanggepin maaf ketidaknyamanan nya enggak tindakan samsek,bikin gudang tokopedia bikin kurir sendiriikut sih cepat lelet nya ampunmau komplain nya tanggepin maaf ketidaknyamanan nya tindakan samsek
mantap,5,mantap,mantap,mantap,mantap
cepat dan banyak promo,5,cepat dan banyak promo,cepat promo,cepat promo,cepat promo
APLIKASI JELEK GAJELAS NAJIS BIKIN ORANG EMOSI.,1,aplikasi jelek gajelas najis bikin orang emosi,aplikasi jelek gajelas najis bikin orang emosi,aplikasi jelek enggak jelas najis bikin orang emosi,aplikasi jelek najis bikin orang emosi
akun ff gw ke banned,5,akun ff gw ke banned,akun ff gw banned,akun ff gue banned,akun ff gue banned
bagus,4,bagus,bagus,bagus,bagus
Bagus tapi kenapa tdk dapat untuk login mendaftar,4,bagus tapi kenapa tdk dapat untuk login mendaftar,bagus tdk login mendaftar,bagus tidak login mendaftar,bagus login mendaftar
mantapp,4,mantapp,mantapp,mantap,mantap
"Aplikasi paling buruk.... Untuk apa buat iklan promo besar besaran kalau ujung ujungnya saat pemesanan di batalkan dengan berdalil ""tindakan manipulasi"" padahal jelas jelas voucher yg saya gunakan sesuai dengan yang di tawarkan. Sumpahhh gak pengen review disini sebenarnya. Cuma saya sudah lapor tokopedia care gak ada solusi sama sekali",1,aplikasi paling buruk untuk apa buat iklan promo besar besaran kalau ujung ujungnya saat pemesanan di batalkan dengan berdalil tindakan manipulasi padahal jelas jelas voucher yg saya gunakan sesuai dengan yang di tawarkan sumpahhh gak pengen review disini sebenarnya cuma saya sudah lapor tokopedia care gak ada solusi sama sekali,aplikasi buruk iklan promo besaran ujung ujungnya pemesanan batalkan berdalil tindakan manipulasi voucher yg sesuai tawarkan sumpahhh gak pengen review lapor tokopedia care gak solusi,aplikasi buruk iklan promo besaran ujung ujungnya pemesanan batalkan berdalil tindakan manipulasi voucher yang sesuai tawarkan sumpahhh enggak pengin review lapor tokopedia care enggak solusi,aplikasi buruk iklan promo besaran ujung ujungnya pemesanan batalkan berdalil tindakan manipulasi voucher sesuai tawarkan sumpahhh pengin review lapor tokopedia care solusi
Kebanyakan download fitur,1,kebanyakan download fitur,kebanyakan download fitur,kebanyakan download fitur,kebanyakan download fitur
dengan belanja di Tokopedia..semuanya jd mudah..tidak perlu belanja keluar rumah..dan harga nya pun murah murah.. terimakasih Tokopedia,5,dengan belanja di tokopediasemuanya jd mudahtidak perlu belanja keluar rumahdan harga nya pun murah murah terimakasih tokopedia,belanja tokopediasemuanya jd mudahtidak belanja rumahdan harga nya murah murah terimakasih tokopedia,belanja tokopediasemuanya jadi mudahtidak belanja rumahdan harga nya murah murah terimakasih tokopedia,belanja tokopediasemuanya mudahtidak belanja rumahdan harga nya murah murah terimakasih tokopedia
"amazing, very good 👍👍❤️❤️",5,amazing very good ,amazing very good,amazing very good,amazing very good
real buddha cule,5,real buddha cule,real buddha cule,real buddha cule,real buddha cule
"Nyesel banget si,,baru pertama kali belanja udah dibikin kecewa,,dapet promo, terus barang nya di CO ,udah di bayar juga,ehh malah di batalkan sama.apk nya,,saldo nya juga ditahan,, mending belanja ditoko yang udah terpercaya ya bua teman-teman,jangan tergoda diskon tapi akhirnya menyesal,,smga menjadi pelajaran buat rekan-rekan yang lain",1,nyesel banget sibaru pertama kali belanja udah dibikin kecewadapet promo terus barang nya di co udah di bayar jugaehh malah di batalkan samaapk nyasaldo nya juga ditahan mending belanja ditoko yang udah terpercaya ya bua temantemanjangan tergoda diskon tapi akhirnya menyesalsmga menjadi pelajaran buat rekanrekan yang lain,nyesel banget sibaru kali belanja udah dibikin kecewadapet promo barang nya co udah bayar jugaehh batalkan samaapk nyasaldo nya ditahan mending belanja ditoko udah terpercaya ya bua temantemanjangan tergoda diskon menyesalsmga pelajaran rekanrekan,menyesal banget sibaru kali belanja sudah dibikin kecewadapet promo barang nya cowok sudah bayar jugaehh batalkan samaapk nyasaldo nya ditahan mending belanja ditoko sudah terpercaya ya bua temantemanjangan tergoda diskon menyesalsmga pelajaran rekanrekan,menyesal banget sibaru kali belanja dibikin kecewadapet promo barang nya cowok bayar jugaehh batalkan samaapk nyasaldo nya ditahan mending belanja ditoko terpercaya ya bua temantemanjangan tergoda diskon menyesalsmga pelajaran rekanrekan
lebih memudahkan,5,lebih memudahkan,memudahkan,memudahkan,memudahkan
Beli barang udah transfer gak ada di riwayat pembelian,1,beli barang udah transfer gak ada di riwayat pembelian,beli barang udah transfer gak riwayat pembelian,beli barang sudah transfer enggak riwayat pembelian,beli barang transfer riwayat pembelian
bagus,5,bagus,bagus,bagus,bagus
Beli sebagai pengguna baru eh dibatalin oleh sistem dengan alasan tidak memenuhi S&K. Padahal sudah benar bahwa ini pengguna baru.,1,beli sebagai pengguna baru eh dibatalin oleh sistem dengan alasan tidak memenuhi sk padahal sudah benar bahwa ini pengguna baru,beli pengguna eh dibatalin sistem alasan memenuhi sk pengguna,beli pengguna eh dibatalin sistem alasan memenuhi suka pengguna,beli pengguna eh dibatalin sistem alasan memenuhi suka pengguna
"Promo pengguna baru gak guna, orang pesan kok di batalkan, komplen ke cs juga gak di bales sama sekali di angguri sudah 30 menitan tidak ada jawaban, kalo gini terus tutup aja sama aja kayak meremehkan pelanggan gimana mau maju kalo gini sangat buruk",1,promo pengguna baru gak guna orang pesan kok di batalkan komplen ke cs juga gak di bales sama sekali di angguri sudah  menitan tidak ada jawaban kalo gini terus tutup aja sama aja kayak meremehkan pelanggan gimana mau maju kalo gini sangat buruk,promo pengguna gak orang pesan batalkan komplen cs gak bales angguri menitan kalo gini tutup aja aja kayak meremehkan pelanggan gimana maju kalo gini buruk,promo pengguna enggak orang pesan batalkan komplen cs enggak balas angguri menitan kalo begini tutup saja saja kayak meremehkan pelanggan bagaimana maju kalo begini buruk,promo pengguna orang pesan batalkan komplen cs balas angguri menitan kalo tutup kayak meremehkan pelanggan maju kalo buruk
Good Job !,5,good job ,good job,good job,good job
"Apa fungsi dari promo untuk pengguna baru kalo tidak bisa di gunakan, masak saya pesen di batal kan sistem padahal saya pengunan baru",1,apa fungsi dari promo untuk pengguna baru kalo tidak bisa di gunakan masak saya pesen di batal kan sistem padahal saya pengunan baru,fungsi promo pengguna kalo masak pesen batal sistem pengunan,fungsi promo pengguna kalo masak pesan batal sistem pengunan,fungsi promo pengguna kalo masak pesan batal sistem pengunan
MAaf paket saya kok belum datang ya atau kesasar,2,maaf paket saya kok belum datang ya atau kesasar,maaf paket ya kesasar,maaf paket ya kesasar,maaf paket ya kesasar
Beberapa kali tidak bisa COD. Padahal sudah mengikuti ketentuan dari Tokopedia tentang COD.,1,beberapa kali tidak bisa cod padahal sudah mengikuti ketentuan dari tokopedia tentang cod,kali cod mengikuti ketentuan tokopedia cod,kali cod mengikuti ketentuan tokopedia cod,kali cod mengikuti ketentuan tokopedia cod
semoga amanah,5,semoga amanah,semoga amanah,semoga amanah,semoga amanah
baik,5,baik,,,
"Aplikasi apalah giliran co pake voucher gede pesanan malah di batalin otomatis giliran co voucher kecil malah bisa, apk rusak GK kaya lazada Ama shoppe mending belanja di apk lazada ama shoppe GK ada fitur batal otomatis gaje",1,aplikasi apalah giliran co pake voucher gede pesanan malah di batalin otomatis giliran co voucher kecil malah bisa apk rusak gk kaya lazada ama shoppe mending belanja di apk lazada ama shoppe gk ada fitur batal otomatis gaje,aplikasi apalah giliran co pake voucher gede pesanan batalin otomatis giliran co voucher apk rusak gk kaya lazada ama shoppe mending belanja apk lazada ama shoppe gk fitur batal otomatis gaje,aplikasi apalah giliran cowok pakai voucher gede pesanan batalin otomatis giliran cowok voucher apk rusak enggak kayak lazada sama shoppe mending belanja apk lazada sama shoppe enggak fitur batal otomatis enggak jelas,aplikasi apalah giliran cowok pakai voucher gede pesanan batalin otomatis giliran cowok voucher apk rusak kayak lazada shoppe mending belanja apk lazada shoppe fitur batal otomatis
Sangat Bagus,5,sangat bagus,bagus,bagus,bagus
"Order susu masih 1 provinsi aja 5 hari ga samapai2,kapok belanja di sini",1,order susu masih  provinsi aja  hari ga samapaikapok belanja di sini,order susu provinsi aja ga samapaikapok belanja,order susu provinsi saja enggak samapaikapok belanja,order susu provinsi samapaikapok belanja
nice,5,nice,nice,nice,nice
mantap,5,mantap,mantap,mantap,mantap
pokoknya oke,4,pokoknya oke,pokoknya oke,pokoknya oke,pokoknya oke
apk nya bagus namun sedikit susah untuk memberikan alamat tidak seperti di tiktok padahal Tokopedia gabung dengan tiktok shop namun malah berbeda,5,apk nya bagus namun sedikit susah untuk memberikan alamat tidak seperti di tiktok padahal tokopedia gabung dengan tiktok shop namun malah berbeda,apk nya bagus susah alamat tiktok tokopedia gabung tiktok shop berbeda,apk nya bagus susah alamat tiktok tokopedia gabung tiktok shop berbeda,apk nya bagus susah alamat tiktok tokopedia gabung tiktok shop berbeda
"mantap ,tokped..",5,mantap tokped,mantap tokped,mantap tokped,mantap tokped
goodd,5,goodd,goodd,goodd,goodd
oke lah,4,oke lah,oke,oke,oke
Mitra kurir sangat bermasalah,1,mitra kurir sangat bermasalah,mitra kurir bermasalah,mitra kurir bermasalah,mitra kurir bermasalah
mantapo lg promo beli minyak 1 liter sunco 53perak .mantap,5,mantapo lg promo beli minyak  liter sunco perak mantap,mantapo lg promo beli minyak liter sunco perak mantap,mantapo lagi promo beli minyak liter sunco perak mantap,mantapo promo beli minyak liter sunco perak mantap
SangT berguna,5,sangt berguna,sangt berguna,sangat berguna,berguna
"Aplikasi error , mau beli aja gak bisa error di metode pembayaran asuu",1,aplikasi error  mau beli aja gak bisa error di metode pembayaran asuu,aplikasi error beli aja gak error metode pembayaran asuu,aplikasi error beli saja enggak error metode pembayaran asuu,aplikasi error beli error metode pembayaran asuu
"JANGAN BELANJA DI TOKOPEDIA, JELEK BARANG SUKA GAK SAMPAI MENDING DI SHOPEE AJA LEBIH BAIK",1,jangan belanja di tokopedia jelek barang suka gak sampai mending di shopee aja lebih baik,belanja tokopedia jelek barang suka gak mending shopee aja,belanja tokopedia jelek barang suka enggak mending shopee saja,belanja tokopedia jelek barang suka mending shopee
Mencari item barang yg ditampilkan terlalu banyak pilihan yg tidak sesuai dg yg dicari ..sangat membuang waktu...akhirnya males dan pusing Disemua toko online,4,mencari item barang yg ditampilkan terlalu banyak pilihan yg tidak sesuai dg yg dicari sangat membuang waktuakhirnya males dan pusing disemua toko online,mencari item barang yg ditampilkan pilihan yg sesuai dg yg dicari membuang waktuakhirnya males pusing disemua toko online,mencari item barang yang ditampilkan pilihan yang sesuai dengan yang dicari membuang waktuakhirnya malas pusing disemua toko online,mencari item barang ditampilkan pilihan sesuai dicari membuang waktuakhirnya malas pusing disemua toko online
Katanya gratis ongkir rp0 giliran di CO ada ongkirnya 🌚,1,katanya gratis ongkir rp giliran di co ada ongkirnya ,gratis ongkir rp giliran co ongkirnya,gratis ongkir rp giliran cowok ongkirnya,gratis ongkir rp giliran cowok ongkirnya
murah cuy,4,murah cuy,murah cuy,murah cuy,murah cuy
Terpaksa saya kasih bintang 1.. Makin ke sini makin gak ada promo apa2.. Padahal saya sudah member gold.. Untuk dapat free ongkir pun harus langganan plus dulu yg berbayar.. Kalah ma toko sebelah yg makin banyak promonya..,1,terpaksa saya kasih bintang  makin ke sini makin gak ada promo apa padahal saya sudah member gold untuk dapat free ongkir pun harus langganan plus dulu yg berbayar kalah ma toko sebelah yg makin banyak promonya,terpaksa kasih bintang gak promo member gold free ongkir langganan plus yg berbayar kalah ma toko sebelah yg promonya,terpaksa kasih bintang enggak promo member gold free ongkir langganan plus yang berbayar kalah sama toko sebelah yang promonya,terpaksa kasih bintang promo member gold free ongkir langganan plus berbayar kalah toko sebelah promonya
"Cihuy, banyak diskon😁🗿",4,cihuy banyak diskon,cihuy diskon,cihuy diskon,cihuy diskon
top,5,top,top,top,top
bagus,5,bagus,bagus,bagus,bagus
top markotop belanja disini,5,top markotop belanja disini,top markotop belanja,top markotop belanja,top markotop belanja
pembelian diskon 200 rb dibatalkan secara otomatis hadeuh gimananih gk jadi bintang 5,2,pembelian diskon  rb dibatalkan secara otomatis hadeuh gimananih gk jadi bintang ,pembelian diskon rb dibatalkan otomatis hadeuh gimananih gk bintang,pembelian diskon ribu dibatalkan otomatis aduh gimananih enggak bintang,pembelian diskon ribu dibatalkan otomatis aduh gimananih bintang
"ISINYA MAFIA ,BARANG GA SESUAI UDAH KOMPLAIN MALAH MIHAK KE SELLER ,PADAHAL TRANSAKSI GA SEDIKIT ,SEMOGA GULUNG TIKAR KAU",1,isinya mafia barang ga sesuai udah komplain malah mihak ke seller padahal transaksi ga sedikit semoga gulung tikar kau,isinya mafia barang ga sesuai udah komplain mihak seller transaksi ga semoga gulung tikar kau,isinya mafia barang enggak sesuai sudah komplain mihak seller transaksi enggak semoga gulung tikar kau,isinya mafia barang sesuai komplain mihak seller transaksi semoga gulung tikar kau
sangat bagus,4,sangat bagus,bagus,bagus,bagus
bagus,5,bagus,bagus,bagus,bagus
Kalo ada masalah cs nya slow respon,1,kalo ada masalah cs nya slow respon,kalo cs nya slow respon,kalo cs nya slow respon,kalo cs nya slow respon
mantaap,5,mantaap,mantaap,mantap,mantap
baik,4,baik,,,
mantap,5,mantap,mantap,mantap,mantap
"BURUK SEKALI DANA REFUND TIDAK KEMBALI ,CHAT CS SLOWRWSPON merugikan Konsumen . prosedur berbelit2 . Sangat MENGECEWAKAN!!!",1,buruk sekali dana refund tidak kembali chat cs slowrwspon merugikan konsumen  prosedur berbelit  sangat mengecewakan,buruk dana refund chat cs slowrwspon merugikan konsumen prosedur berbelit mengecewakan,buruk dana refund chat cs slowrwspon merugikan konsumen prosedur berbelit mengecewakan,buruk dana refund chat cs slowrwspon merugikan konsumen prosedur berbelit mengecewakan
