content,score
mantap aplikasinya,5
mantap,5
"apk ga jelas, kalo ga niat ngasih diskon pengguna baru ga usah di adain tu fitur, klo ga di kembalikan di batalkan",1
Komplainan barang ribet diundur undur terus dan ada permainan saat pengembalian barang dibanding aplikasi ini shopee lebih tegap saat pengajuan komplain barang. Saya bukan diendorse sebelah saya hanya mengatakan apa yang saya pikirkan.,1
Payah promonya tidak bisa dipakai,1
"dari awal rilis ampe sekarang belum pernah beli barang di app ini,baru mau cekout,vocer pengguna baru langsung hilang,harga tongsis/tripod mahal banget,buset dah.mana appnya berat banget lagi,ngabisin kuota.",1
"Sekarang Tokopedia parah, Kurir rekomendasinya ID Express, barangsampai berminggu² tidak diantarkan, sudah malas belanja di TOKOPEDIA,",1
aplikasi belanja online paling oke mantep pokonya semua barang ada recommended pokonya,5
"makin kesini makin ke sana, pesanan sameday kok di estimasi pesanan tanggal 13 suruh tunggu estimasi tanggal 15 haha LUCU nih toko ijo",1
"jelek najis, ngasih voucher gapernah bisa dipake, ujung ujungnya selalu dibatalkan sistem, chat cs tapi diblsnya setelah berjam jam kemudia, udah gitu alesannya gajelas, kayak ga niat bgt ngasih voucher????????? najis pembohongan publik",1
Saran gw jangann unduh apk ini walaupun gratis ongkir+diskon minusnya pengirimannya lama melebihi estimasi tiba mending apk sebelah pengiriman cepat walaupun ada diskon gratis ongkir,1
mantap banyak promonya,4
sangat bagus,5
"Voucher gajelas, ngasi voucher tp gabisa dipake. Keterangannya 'akun tidak sesuai', w hapus smpe tutup akun di akun kedua kirain gegara akun ganda. Pas udh tutup akun tetep gabisa, emng kga niat ngasi diskon ni tokped",1
mantap luar biasa.,5
belanja cepat cara 😎😬,5
mantap,5
yg terbaik buat toped,5
"Maaf nih,untuk pelayanan bagus sih menurutku.tapi untuk pengantaran paket nya entah kenapa lebih lambat dan gak teratur gitu.soalnya paket ku sempet gak Dateng padahal aku ada di titik lokasi kok,tpi dari app ny bilang kalau 'pembeli tak ada di tempat tujuan,kurir akan mengembalikan pesanan'.seakan jadi ehh?..baru kali ini sih begini",3
"Tiap mau masuk statusnya ada gangguan dirumah tokped mulu,,",1
JANGAN DOWNLOAD APLIKASI INI KALO KALIAN GK MAU KECEWA DAN DI PHP IN PENGGUNA BARU DAPAT PROMO DAN GRÁTIS ONGKIR TAPI MALAH DIBATALKAN SISTEM DAN AKHIRNYA HANGUS PROMO SAMA GRÁTIS ONGKIRNYA PANTES PENGGUNANYA SEDIKIT GK SEPERTI SHOPPEE CONTOHLAH SHOPEE KALO MAU BANYAK PENGGUNANYA,1
memudahkan belanja barang yg sulit dicari ditoko konvensional,5
great,5
"Aplikasi lebay, oren aja gampang mau ganti2 akun, aplikasi ini ganti akun malah gagal2 terus, gak pake aplikasi lu gak masalah, masih ada aplikasi lainya cok",1
Mantap min,5
Bagus pelayanan cepat,5
keren,5
platform ignorant 👎👎👎,1
murah kaliiii wkwkkwk,5
"Sumpah ga jelas banget pesan tanggal 5/6 estemasi tiba tgl 8/11,ehh tiba tiba jasa kirimnya barang sudah di terima tanggal 8,padahal belum di terima sama sekali barangnya,sampe tgl 13 barang belum nyampe juga,padahal biasanya di marketplace lain juga ga kaya gini jasa pengirimannya,sudah di hubungi saler sama tokpednya responnyaa bikin kesel",1
"Banyak membantu, Trimakasih !",5
tingkatkan layanan yg cepat,5
Mantap sukses selalu,5
"Promo&diskon sudah oke. Tpi giliran dapet diskon dan promo besar selalu ada gangguan saat pembayaran. Mau bayar pakai bank selalu bermasalah, bayar lewat BRIVA selalu tercantum ""gangguan kode""",3
mantap lah pokoknya,5
tokopediaa pengiriman lamaa oyyy tuu barang pacar gwehh gaa sampe sampee kurir nyaa ngopi bae,1
Ok sip,5
Aplikasi sampah.. Gak tau kenapa tiba2 pesanan dibatalkan sistem... Selama belanja2 online.. baru aplikasi ini yg tiba2 batalin sistem... aplikasi gak guna....,1
simple tapi kurang banyak promo diskountnya,5
"sangat membantu mrlayani konsumen sehingga memudahkan untuk membeli barang tanpa repot mencari tempatnya, trrima kasih tokped, semoga sukses selalu, Amiin",5
puas jujur,5
"pertama kali belanja di tokopedia tapi bukannya senang malah bikin kesel, pesen barang tp barang tak kunjung datang, di lacak alasannya rumah kosong, padahal alamat jls ada patokannya juga, ada rt rw kel kec no rumah kode pos dan kotanya juga, ada no hp jg , saya juga setiap hari dirumah, sumpah gk jelas bgt, mw pilih ekspedisi lain tp yang tertera cuma jne, saran nih buat tokopedia cari layanan kerja sama antar kurir yang bgs sekalian, kalo gk dibenahin makin lama makin kalah sama pesaing lain",1
bisa tambah notifikasi kalo mau kirim barang ke rumah ga sih? klo cuma barang sampe di gerai terus ga tau kapan barang bakal gerak bikin kita susah bikin jadwal buat keluar rumah.. jadi harus stay at home kan ga efisien waktu,2
belanha mudah pengiriman cepat,5
"tolong jangan pakai jne sebagai pengiriman yg di rekomendasikan, pengirima superlama..",1
Jangan belanja ditoko ini.banyak penipuan dan susah gratis ongkir,1
manstaps,5
Saran aja mending gausah kerja sama dengan jasa antar JNE asli lama banget sampenya... Pake jasa layanan lain aja yg luar daerah cepet... Lah ini mesen daerah Deket bisa hampir 5 hari ga sampe2... Dah saran saya mending hapus aja tuh JNE dri jasa antar paket tokped 🙏,3
"kalo sekira kiranya udah ga promo ya jangan ditampilkan promo ngapain pasang harga 100 perak nyatanya ga bisa dibeli,cuma buat pengguna baru itu juga cuma sekali pakai pelit banget ya tokopedia ni",1
aplikasi bagus,5
masih baik sampai ini terakhir saya belanja,5
"Hati hati berbelanja di Tokopedia karena banyak scam produk tidak sampai uang tidak dikembalikan, lebih baik ke toko orange kita komplen paling lama 2 hari beres",1
"Aplikasi nipu ini beberapa kali dapet discount pake briva ujung ujungnya batal,saldo kembalinya ke saldo Toped . Hadeuh dipaksa halus ngsi saldo itumah. Makin kacau nih toped.",1
asli,4
"KURIR SAPX KURIR GAJELAS, TOLONG HIALNGKAN FITUR KURIR REKOMENDASI, NAJIS BANGET KALO DAPET NYA SAPX",1
"wajib beli di sinih, karna harganya yang memuaskan dan pengiriman yg bagus dan cepat",5
"pertama & terakhir sii beli di sini, kocak leletnya estimasinya kapan datangnya kapan kocak²",1
"bagus, saya suka",3
Mantab,5
"Aplikasi yang tidak amanah, sudah tau transaksi pembelian saya di kirim hanya surat jalan. Uang saya malah di tahan dan tidak di proses sama sekali. Sudah chat via IG sama aja. Tidak ada solusi. Cs robot tidak berguna.",1
mantap👍,5
nek larang dodolan su,1
aplikasi belanja online yang saya suka.yang kadang ada diskon n flash sale ditanggal tertentu.makasi aplikasinya,5
Pengirimannya sangat lama,2
sangat membantu sekali buat belanja,5
"Pengalaman menggunakan tokopedia pertama kali sangat mengecewakan, pembelian dibatalkan sistem, kemudian tidak bisa lagi deh promonya dipakai. Kagak ngerti gua mah sama aplikasi ini. Serius apa kagak ya ngasih promonya.",1
Promo2 menarik tp zonk. Pas di CO trnyata Nol Besar,2
apk taiiiii,1
ok banget,5
oke,5
good,4
bagus,5
"mantap banget tokped, tp kok diskon 30rb nya ga bisa di claim yaaa huhu",5
Udah ada kemajuan tapi biaya ongkirnya mahal-mahal. Kargo aja mahal beud. Di aplikasi lain pesan barang sedus dari jarak jauh pakai kargo cm Rp 10-17 rb tp lok di sini Rp 50 rb lebih. Padahal udah pakai diskon ongkir juga. Tolong diperbaiki.,2
banyak diskon wak🙌🙌,5
ketika udah co tiba2 di batalkan sistem,1
"saya beli pulsa di sini pake gopay,ko kaga masuk ya pulsanya,tapi saldo di gopay nya udah ketarik/udahh hangus??",1
"kemarin beli ada pembatalan sepihak, kurang memuaskan",3
Bagimana lagi ini bung saya ingin beli barang cuma gak bisa cari metode pembayaran Loding terus,1
"Pengalaman berbelanja dionline masih banyak penipuan barang, beda dikripsi beda beda kualitasnya, ulasan bintang gak menjamin penjual jujur, banyak hasil bintang memanipulasi ulasan sedndiri, banyak barang bekas pakai dijual baru lagi.",1
"belanja yg mudah, murah dan hemat",5
Bagus sangat membantu murah,5
the best tokped,5
wow sangat bagus,5
ok,5
lumayan,5
good,5
"99% serba 100 Rp, promonya bener² gilaaaa...sangat membantu di saat lagi sulit..terima kasih toko pedia. sukses selalu buat toko pedia. aku kasih bintang 5 oke",5
"Pesanan tidak di kirim2 oleh penjual , pembeli minta di batalkan saja tapi tidak di respon penjual, batal otomatis nya terlalu lama 7 hari. Seharus penjual nakal di tutup saja toko nya, jangan karena nila setitik rusak susu sebelanga.",1
Membantu buat pembelian,5
hebatt,5
Sering di blokir gajelas,1
puass banget,5
"tidak di rekomendasikan, karena saya pernah melakukan pembayaran tagihan pdam dan dikembalikan alasan sudah ada notif email padahal saya cek gaada email saya tidak tersambung tokped. dan mereka ilang berhak memutuskan sepihak karena abcdefgh banyak alasan tidak mau rugi atas perilakunya. mending tidak usah instal toped karena merugikan customer hingga saya haru membayar tagihan dengan denda.",1
"aplikasi kurang bagus tidak bisa belanja sistem COD, semoga bisa perbaiki sistem bayar ditempatnya.",2
di bales semua jir,3
"Team kreatif nya siapa sih, bikin menu menu tampilan aplikasi susah banget sekarang mau pilih-pilihnya, ga praktis. Ga sekali pencet. Kalau team nya karyawan titipan hancur sudah lu punya aplikasi.",1
"Hadeehhh Sudah pesen dri 1 minggu yg lalu barang ga sampe"" Ini jasa pengiriman nya lelet juga dari tokopedia tidak ada proses tindak lanjut juga.. Badrecomend banget lah... Kalo dari platfrom oren.. kalo estimasi sampe 3hari malah kadang ga nyampe 3 hari.. Sudah ga mau lagi pake tokopedia.. Terakhir kali ini pake tokopedia.",1
suka blanja di tokopedia tapi sayang kenapa harus pake pengiriman JNE lemotnya naudzubillah.. kalo bisa ganti dong min jangan pake JNE bener² gak recomended bgt,4
"Saya dari Pasir gudang Johor Malaysia,,, bagaimana caranya agar saya bisa berbelanja secara online di Tokopedia,,,, thanks",5
kasih 4 bintang dulu klw bagus +,4
mantap,5
"Pengiriman paket sangat lama, dan jarang di update posisi paket yang sedang dikirim..",1
paket saya tidak pernah sampai,1
"Busuk ini aplikasi,,kenapa mau beli saja tidak bisa Alasan tidak memenuhi syarat, syaratnya seperti apa buat konsumen, busuk aplikasinya, sorry saya unistal masih bagus yang warna orange daripada ini buat belanja",1
"2 order terakhir : order pertama, terlambat 1 Minggu lebih, order kedua ga pernah sampai saldo tetap terpotong",1
qku beli gk dateng dateng anajy katanya tanggal 9 kalok gk tanggal 11 ini udah tanggal 13,1
Baru download,5
Ok,5
Apk bgsat gk guna,1
pokoke mantul mas bro...,5
"Jelek banget layanannya, perihal komplain keterlambatan urusan jadi panjang gara gara pihak tokped telat konfirmasi ke pihak kurir.",1
baik,4
aplikasi sampah jelek udah bayar gak di kirim kirim pertanggungjawaban dongg,1
tokped ga bisa co pengguna baru menggunakan voucher nya. tiap co mental dana nya d balikin lagi. kesel jadinya. ga deh. mana mahal2 lagi. freeong nya ga berlaku d semua toko. riweeeeh uninstal pokok nya.,2
"Sekarang suka menipu, harga dengan diskon tp setelah di cekout ga ada diskon trus harga normal malah auto centang proteksi yg ga jelas. Mending pakai harga asli saja ntah apa mau bangkrut goto sampai segitunya.",1
"pilih kasih, saya udah dpt produk kecantikan dengan harga 9rb dri 75rb malah di batalin dengan sistem. macam apa ni gunanya diskon apa ya????? jdi untuk rate bntang 1 klo ada bintang ½ sy kasih ½",1
"Appk yg sangat ribet bru pertama cekut pia appk ini mlh dapat barang yg gak guna pengajuan pengembalian barang begitu ribet kapok dengan appk ini,,",1
"Tidak bisa pilih jasa pengiriman seperti di shopee, saya paling jengkel kalau barang kena JNE pasti lelet.",1
kalahkan si oren,5
"Mantul, sering dapet diskon sama gratis ongkir👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 Di kurangin bintangnya, expedisinya yg bermalasalah sering telat (id express) masih digunakan. Kenapa gak direkomendasikan ke expediai yg lain.",2
Paylaternya lebih kejam dr shopee katanya.heran.. udh bayar minimum jg ttp ditagih sadis.,2
"Saya menyesal download aplikasi ini yg katanya khusus pengguna baru dapat promo 99% ,nyata nya pada saat pembayaran selalu ditolak ataw di batalkan oleh sistem....saya dibohongin sama aplikasi ini,hampir semua barang saya coba tetap aja dibatalkan sistem padahal saya pengguna baru...",1
ok masih di coba,5
👍👍👍👍👍👍👍,5
olshop terbaik si,5
pembayarannya minim COD,4
Mantap,5
ok,5
Aplikasi yang bagus dan membantu saya dalam belanja,5
"Setelah di update malah ga bisa kebuka, stuck aja layarnya",1
joosss,5
Kalo Boleh Berpendapat Aslinya Tokopedia Ini Barangnya Murah Murah Cuma Pengiriman Nya SANGAT LAMA Klaten Jawa Tengah ke Pasuruan Jawa Timur Pengiriman Bisa seminggu Lebih. MANA gak bisa milih jasa kirim nya.,2
tokped emang mantap👍👍👍 lengkap dan sesuai + bnyak promo dan diskonya,5
good job,5
So far so good so what,5
"Pengiriman terbapuk, lama banget buat 1 paket aja Sampe seminggu muluu",2
hebat sempurna. buat tokopedia,5
"Perhitungan Disc yang tidak sesuai. Ketika akan di pakai malah tertolak dengan Alasan tidak bisa di Pakai Dan Perhitungan, pada Jumlah barang yg akan di beli.. untuk gratis ongkir.",1
Pelayanan konsumen buruk,1
👌,5
bagus,5
ok,5
"stok masih tersedia namun tidak bisa di CO,,,kacau.semoga kedepan bisa dapat flash sale",5
Aplikasi ini tidak berguna masak kotannya terbatas bagaimana saya mau pilih,1
Belanja jadi lebih mudah terpercaya & menyenangkan 👍👍,5
"Komplain barang rusak, barang belum diterima, ga ada solusi dari tokopedia, promonya skrg ga bs digabung, kena biaya layanan aplikasi, awal aja yg bgs. Penyelesaian komplain 1 bulan pun ga selesai, apa la kerjaan admin toped ne",1
"keren laah, puas banyak promo dan diskon makasih toped",4
"parah toped sekarang.. expedisi ga ada yang beres..ga bisa tegas ke expedisi juga,ga seperti marketplace sebelah..",1
"asli tokped makin banyak penipu, tapi yang dilindungi penipunya",1
top,5
"pelayanannya cepat, sangat baik responnya",5
"bagus, mantap dan Kren",4
"Kurir nya gak amanat masa pket anak saya di estimasi nya udah nyampe dan keterima,,tapi barang nya gak nyampe2 dan yg dirumah gak ada yg menerima😡",1
dapat dipercaya...kartu ilang limit saldo kembali,5
sangat puas dengan pelayanan tokopedia,5
Murah bgttt,5
susah dapet gratis ongkir di tokopedia.. ongkir nya mahal mahal banget..,1
"Apk aneh pembelian tgl berapa dikirim tanggal berapa! Mikir lah bro orang pembeli mana yang mau nunggu 4 hari pas mau di cancel udah ngga bisa lucu"" kebanyakan makan uang haram!!",1
aplikasi ini sangat bagus,5
"Kecewa dengan Tokopedia karna pesanan saya selalu dibatalkan memang saya daftar pake akun kedua karna akun utama saya sudah lupa untuk di login, padahal saya daftar secara adil, hp saya jga sudah saya restart tp knpa setiap pesanan saya selalu dibatalkan apa yg curang dari saya???????",2
"Aplikasi tokopedia sekarang dah ga worth it temen-temen. Masa saya CO dibatalkan oleh sistem sepihak, kalau ga kuat kasih vocer diskon mending gausah. Malu sama marketplace sebelah yang tidak pernah melakukan pembatalan sepihak",1
kurir rekomendasi JNE sangat2 mengecewakan sekali super laamaaaaaaaa,1
mantap sekali nih toko pedia pada banyak geratisa diskon dan pada murahh,5
"MAKIN TOLOL AJA INI APLIKASI, JUALAN BARANG FEE NYA MENCEKIK. GILIRAN MAU BELANJA, KUPON HANYA GIMIICK GA BISA DI PASANG TOLOL",1
Bagusss,5
banyak diskonnya,5
Habis habis snixnkz sbjbsbbahs ambx kabx kz jzmjs,5
wow bntk diskon nya maksih bnget,5
"Makin gajelas ni apk, udh co pasang pocer klik pilih pembayaran pocer ilang. Kaga niat ngasih pocernya 👎",1
"ok toped, aplikasi yg simpel mudah di gunakan, dan banyak promo nya, trims tokopedia",5
voucher scam semua. buat pajangan doang. koar2 diskon pas dipake gabisa S&K nya ga tanggung2. kalo emang gabisa jangan belaga kasih diskon blablabla.. dipilih bisa pas CO banyak banget alesanya. kalo tau gituu apa2 gausah dikasih label diskon/voucher,1
"Langganan Plus seperti dibohongi, percuma berlangganan tp tetap kena ongkir, saran saya JANGAN berlangganan Plus jika tidak ingin menyesal",1
bagus,4
hampir semua barang nya (black-market).. ⭐⭐⭐🙏🙏,5
mantap betul,5
bagus,5
sangat puas,5
"Barang belum sampe"" buset udh melebihi batas estimasi, b1 belanja prtma malah kek💩 ga smpe"" gatau paket kemana sm ekspedisinya",1
sangat luar biasa membantu orang yg tak punya uang seperti saya...,5
good apk,5
suka banget sama tokopedia.. banyak diskonnya.. barangnya juga bagus2..,5
"Fitur tambah lokasi alamat ko ga jadi, di saya nge bug untuk tambahkan Pinpointnya.",3
Lama banget pengiriman nya.. Surabaya-Madiun masak 4 hari gak sampe..,1
super top,5
Ok,5
Mantap,5
Udh pindah dari tokped....soalnya ngeri gopaylaternya ngancem kaya mau ngebunuh 🥲🥲🥲 untung udh di screenshot 🥲🥲🥲☺️☺️☺️,1
mntap,5
utk e-commerce nya always number one buat saya,5
Expedisi si cepat leletnyooo..,5
"Paylaternya dr gopaylater, masih ada limit 6,5jt,, tapi gak bisa dipake 😪 telat jg gak pernah.. tiru tuh toko sebelah.. paylaternya limit gedhe,, bener"" real.. selamat smakin tertinggal",1
Sangat buruk!!!,1
"Udah nertahun2 makai Tokopedia lancar2 saja, tolong kurir di wajibkan kasih bukti foto kalau barang sudah di Terima, paket saya belum sampai ke tempat saya tapi di app sudah di Terima yang bersangkutan terus siapa yang nerima SUUUU",3
apk nya bagus,5
baik,4
👍,5
smoga ttp amanah,5
"Kurir rekomendasi yang merugikan buyer, beli tanaman hidup estimasi sampai 5 hari eh malah datengnya 10 hari setelahnya. Giliran komplain pengembalian dana malah di kembaliin tidak sesuai dengan kerugiannya. Yang bermasalah di pengiriman yang nanggung buyer. 👎",1
"Tokopedia gajelasss!!!, Masa saya checkout sampe berkali kali dibatalkan sistem ga jelas mulu, Saya mau beli bukan mau maling blog",1
paket saya nyasar,1
Platform ini gimna apa gk niat Saya beli 2kali tang satu gagal2 terus Muter2 kurinya gk amanah Gk ada tanggung jawab dari pihak Tokopedia Apa gk niat anda? Tolong selalu dipantau ekspedisinya ditinjak lanjutin Gk amanah blas Gk suka belanja ditolopedia ini Gk niat,1
jangan belanja di sini parah!!,1
"saya sudah 2x belanja tiba"" dibatalkan??apa krna hrga ny murah ? apa karna dpet diskon besar?",3
Suka ngebug,1
"Jujur aku kesel bgt sm kurir rekomendasi dari tokped ini, bener² selalu bikin kecewa ketika check out, nih ya 1. pengiriman lma pdhl sdh di pick up sm kurir 2. selalu melewati estimasi 3. update paketnya lama, (pdhl klo ada pembaruan aplikasi jg selalu sy update). Tolong yaa diperbaiki lagi ini, sumpah aku jg males blnja di tokped itu ya gini, ga sesuai estimasi, beda bgt kya aplikasi sebelah, dia ngerjain dateng tepat waktu dan kalau lebih estimasi bkl dikasi voucher, TOLONG BGT DIPERBAIKI!!!!!",1
okay ditunggu pesanan saya,5
istimewa,5
ribet login pindah hp aj ribet ga kaya aplikasi sebelah,1
"Saya kasih bintang 1 karena ada seller Tokopedia yang nakal, mau ajukan ganti tapi tidak mau dengan alasan yang tidak masuk akal. Padahal aku Udah langganan di tokped sejak 2018, baru kali ini mendapat respon yang tidak baik.",1
mantapp,5
keren,5
Bagus,5
good,5
Aplikasi yang selalu menggunakan bot dari setiap jawaban gapunya costumer service kah buat laporan keluhan pelanggan,1
Mantap,5
"Menurut saya Tokopedia apknya ribet ga kaya apk yg lain,promonya aja ga jelas,saya belanja pake promo malah gagal,udah gagal saldo saya nyangkut,trus saldo nyangkut ga bisa di belanja'in,haru di tarik dulu pake gopay,itu juga harus upgrade dlu gopaynya anjiirr,bikin ribet belanja aja ribet,ngapain masang promo kalo gtu",1
sukak bagetttttttt,5
good app,5
"Hei tokopedia, tolong kembalikan lagi fitur pembayaran campuran menggunakan gopay, masa saya gak bisa pake saldo gopay saya ketika saya menggunakan metode pembayaran di gerai, padahal dulu bisa mengaktifkan saldo gopay, dengan begitu yg harus saya bayar bisa berkurang karna sudah terbayar dengan gopay",1
trimakasih Tokopedia mantap,5
baru nyoba tapi banyak minusnya. mungkin bisa belajar dr app sebelah ya. aku mau balik pake toko oren aja. disini juga ga ada live chat sama cs jd klo ada masalah ga ada penanganan yang sat set,1
"puas bnget blnja di tokped,,terimakasih",5
sangat cocok untuk pembayaran barang belanja,5
kemaren saya beli sesuatu di tokped pake voucher diskon yang td nya di harga 30 - 40 ribuan jadi cuma 1.500 udah sekitar 1bulan yang lalu saya pesen tp sampe sekarang belum sampe juga.udah komplain kata nya lagi di selidiki ke ekspedisi nya tp sampe sekarang ga ada kabar lagi ntah hilang kemana paket saya 😂,3
"Cara belanja ribet, pembayaran ribet, diskon pakenya ribet, gratis ongkir caranya ribet, pengen ini harus itu pengen itu harus ini, komplain ribet ahh marketplace ter ampas",1
selalu keren,5
Ka tolong dong jangan ada kaya langsung bayar jadi emak ku mengira itu penipuan walaupun emang ada pilihan cod tapi tidak di semua toko,2
"Joss diskonnya anti ribet dan bikin irit pengguna, nggak kyk app toko oren sebelah yang diskon kupon dan isinya lebih ke kek ampas.",5
membantu,5
jos,5
tokopedia is the best,5
"Mohon hapuskan JNE dr toped krn sll lambat kirim paketnya, atau buat spt shopee kita bisa pilih kurir, jgn otomatis aplg yg terpilih jne, masak sby - mlg, smp 5 hari, mmg JNE Mlg sampaahh, sdh 2x paket dg kurir jne sll terlambat",3
baik,5
"Aplikasi paling tidak jelas menangani keluhan konsumen, masa produk palsu dengan kualitas barang murahan tidak bisa di return? Berenti jadi perantara kalo tidak pecus!",1
banyak bug nyaa,2
terbaik,5
goodjob,5
"GAGAL NYA TOKOPEDIA JADI NO 1 KARENA KERJA SAMA DENGAN KNE YANG KUALITAS PENGIRIMAN PAYAH, DAN RAWAN DI CURI.",1
sangat mudah belanja di Tokopedia,5
"depan kena, belakang kena. jadi seller, potongan biaya layanannya gila. jadi buyer, ga bisa make bebas ongkir ditoko manapun. tp dengan ini gw sadar, ternyata beli di SHOPEE jauh sangat menguntungkan. kalau di Shopee dapet free ongkir dan potongan harga. bisa paylater dan pinjam uang. thanx ya tokopedia, gara2 pembelanjaan dibatasi disini, gw jd tau kalau ada aplikasi sekeren SHOPEE.",1
Udah mulai jelek pengiriman-nya,2
Bisa cod jd mudah ga ribet ko mau pesen,5
Sangat kecewa Untuk komplain sangat lama hanya mengupload 1 video tidak bisa sangat lambat padahal jaringan dan internet baik baik saja,1
"Fitur kurir rekomendasi fitur gak guna, bukannya cepet malah lambat",1
mantapp,5
Apk Kon**L fitur cod nya nggak bisa di buka anjeeeeeng,2
oke,5
Makin kesini koneksinya makin kesana... error trus graphql nya,2
banyak promo,3
mantap,5
diskon gedhe twrus bos,5
"Apk bagus banyak diskon,, saran buat expedisi sendiri kayak sebelah soalnya pengirimannya molor gak sesuai estimasi lebih 1-3 hari",5
baru nyoba tapi aku da kasih bintang 5,5
sampai sekarang tetap bertahan semangat pejuang Rp Indonesia,5
"Tolong dong Tokopedia kurir rekomendasi jgn pakai sapx soalnya pengiriman sampai kekonsumen lama, leled",3
Gila sih ongkirnya .masa harga barang cuman 30 an ongkirnya 60 ribuan yg benar aja rugi dong,4
ok mantap,5
"padahal saya belum pernah login tapi ga masuk pengguna baru aneh, benerin lah orang saya belum pernah beli kok masa ga bisa si",1
waww kereen,5
Good job,5
Ngga bisa ngirim gambar di chat,1
bagus tapi pertama g bisa COD pas pengguna baru,5
"Sedikit2 force update, padahal mau belanja dengan cepat",2
Bravo Tokopedia,5
Jasa kirim lambat,1
"Aplikasi semakin tidak jelas , saya beli dengan voucher dan membayar tagihan sesuai yang tertera tapi tiba"" di batalkan sistem. yg di indikasi adanya pelanggaran promo . di minta data melanggar nya sebelah mana ga di jelas in . penipuan voucher ini nama nya .",1
"Njirrr akun tokoed gua di bajak,...dengan nomor pendaftaran yg berbeda 5581, tapi di akun 944 tokped sialan gak bisa bisa masuk akun sendiri",1
"PRODUK SETELAH UPLOAD SELALU DIHAPUS, APLIKASI GAK JELAS BANGET SIH!!!!",1
Kan penguna baru dapet gratis ongkir dah harga nya lebih murah eh ternyata pas udah aku pesan malah di batalkan oleh sana nya,3
burukkk,1
kurir rekomendasi bosok,1
Terima kasih atas aplikasi nya,5
tokopedia sukses terus,5
Aplikasi rerkintil,1
"Komplain karena barang ada yang kurang, solusinya minta dana kembali seharga barang yg dibeli. Harga barangnya berapa yg direfund berapa, gak sesuai, itung2an darimana tiba2 dikurangin tanpa keterangan. Masalah lain jg banyak, ribet.",1
Sering erorr,1
banyak promonya,5
"70% keluhan masalah kurir,tp pihak toped seperti takut investivigasi Kalo seperti ini akan lebih banyak yg di rugikan.karena seler sama customer masih banyak customer",2
Ahhh cuih... pengalaman belanja pertama yang buruk. apalah Tokopediot barangnya lebih dari seminggu belum nyampe meskipun alamatnya sudah benar. Kurirnya juga kurang Profesional 👎... dan itu adalah terakhir kalinya Saya berbelanja di Tokopediot,1
Potongan utk penjual 12 persen. Wow rekor !,1
Pengen beli laptop,5
saya pas daftar akun di bagian nama lengkap tidak bisa alasan masalah server padahal jaringan saya bisa tidak jelas tokopedia ini,1
Ribet !!!!!,1
Cukup bagus,5
"tolong system gratis ongkir kalo misal ngga bisa pilih jasa expedisi ilangin aja, systemnya lucu kita menggunakan voucher dengan nilai nominal tapi ngga bisa pilih sendiri, mending misal ngga bisa pilih ya ngga usah ada voucher nominal",2
mantab,5
Kebanyakan eror woilah,1
Aplikasi jelek,1
"W gasuka model app baru makanya w downgrade, setiap langkah dipaksa update woi GW HAPUS JUGA NIH APP LAMA-LAMA NGESELIN DEVELOPERNYA, SI OREN TUH GAPERNAH MAKSA UPDATE",1
Sangat memudahkan kan konsumen berbelanja,5
setiap mau pesen di batalin mulu,1
Tempat belanja paling murah dan barang nya berkualitas,5
"Token TDK valid kocakkk ,trus kudu gmn? Jelekk",1
mantap,5
ok,5
"Sangat susah buat dapet gratis ongkir alias pelit, barang lama sampai ( beda sama shopee tepat waktu kalo lebih dari estimasi dapet cashback,lah ini mesti langganan dulu baru dapet gratis ongkir itupun ada limitnya wkwkwk, gimana mau cinta produk lokal kalo kaya gini",1
Kecewa banget sama tokped udah co barang promo malah dibatalin sama sistemnya,1
TOKOPEDIA DISKON PROMO NYA DI TOLAK TERUS PENJUAL. ADA APA INI TIDAK KONSISTEN BANGET BIKIN APLIKASI,1
Bisa,5
okay,5
baguss,5
🌟,1
Mantap,5
suka bgtt sna aplikasi nya,5
"Tolong putuskan saja kerjasama dengan JNE yg ada di Kota Malang, khususnya JNE PAJAJARAN, karena merugikan customer, dari pihak Tokopedia cuma diberitahu akan dilakukan investigasi tpi hasilnya nihil",3
"Parah, sekarang terlalu sering eror dan gangguan",1
praktis simpel,5
bagus,5
diskon pengguna baru gabisa dipakai taik,1
"Payah, heng mulu aplikasi ini, keknya disengaja deh kuponya biar gabisa dipakai",1
Tips dan,5
pengiriman sangat lama nyangkut di transit jakarta terus udh dari Senin sy co masih belum sampai,1
"Tokopedia sangat bagus, mau bayar lewat apapun bisa cepet nggak ribet juga kalo ngasih potongan buat pengguna baru tidak nanggung nanggung, pokoknya favorit ini apk",5
bagus,5
semakin kesini pelayananmya semakin buruk.,1
Aplikasi nya bangus bangettt,5
sukses selalu aamiin 🫰,5
mantapp,5
toko pedia bagus sering dpt potongan harga dan dapat saldo terima kasih,5
mantapp,5
